"","logFC","logCPM","PValue","FDR"
"CASP16",5.67519382052989,1.98747140474035,1.8856999849605e-22,1.75261725038972e-20
"HBB",4.74915633067611,6.98826609468103,2.25000069044133e-22,2.07925778090384e-20
"TDGF1",6.14054188141466,3.97344431211635,2.45139952245346e-22,2.25250187938167e-20
"MMRN2",2.15325720158893,6.44702269336897,3.46703298105696e-22,3.16773205478266e-20
"ARHGAP28",3.09487896128702,5.09265752351763,4.22189630212819e-22,3.83575882011332e-20
"GOLM1",2.33708713094314,6.19696203024392,6.61967322125766e-22,5.98063437621111e-20
"KIF19",4.93623131115979,3.45056597778743,6.8053997335939e-22,6.11427358287114e-20
"PROSER2",4.1836486579195,2.71153280638041,1.02572954984323e-21,9.16469518235619e-20
"UNC5C",3.0866426929513,4.19347094474744,1.23126427845934e-21,1.09406625885958e-19
"C3",-3.22894953271675,7.88942772324137,1.48880806345447e-21,1.31568327880796e-19
"SLITRK2",3.13220980643332,3.8270958073416,1.58036762251363e-21,1.38900571691796e-19
"TMEM171",5.39971126437115,3.04613601812684,2.03922588863226e-21,1.78261411194383e-19
"MMRN1",-4.44647666388774,5.43916298225615,2.09444893905416e-21,1.82104452916043e-19
"KAZALD1",4.33739604340955,4.96339578362935,2.59128770547484e-21,2.24097886486305e-19
"FCGR3B",5.7602484258717,6.04355578929371,2.64507790209928e-21,2.26847708419463e-19
"HIF3A",3.96339405786177,5.64282616320859,2.6511388134602e-21,2.26847708419463e-19
"CDH2",2.95162287095547,4.92576642823002,3.93334958504452e-21,3.34790155207053e-19
"FRMD1",7.79600502021784,2.51824563550585,4.38983859902144e-21,3.7168832368259e-19
"DSCAM",5.48138400460014,1.51786813106818,5.55722910457465e-21,4.68080776454069e-19
"ENPEP",3.19419937977629,4.89428810106111,5.74564487549381e-21,4.81443362313399e-19
"PRICKLE4",2.59343525171146,4.88439043005772,6.25006283319156e-21,5.21010392465845e-19
"AQP3",2.94007772318064,6.96711884729278,1.01455388654297e-20,8.41403356572972e-19
"MUC5AC",7.691459818126,0.0489044697463764,1.21255748616789e-20,9.95478635318949e-19
"CCDC68",2.98285237365096,3.84237171033445,1.21264711326882e-20,9.95478635318949e-19
"ASTN1",4.49210711292126,3.06237288647257,1.43084310024681e-20,1.16866639480764e-18
"HS3ST4",6.64494447791908,1.42404888315699,1.49073290581552e-20,1.21146394737933e-18
"C11orf87",7.62249677652574,1.23919821876002,3.31293875754662e-20,2.67884227935219e-18
"NDST1",2.51562454002437,7.6382484936522,3.5409698351561e-20,2.84898329224599e-18
"LOC101059954",-3.56998453545813,3.91061238867225,3.91603894243866e-20,3.13515751371872e-18
"MAMDC2",4.66424119124023,3.65056820514297,4.11170403279934e-20,3.27559003046458e-18
"STOX2",2.8769356556086,4.14934015839211,5.00364104236241e-20,3.96661190868063e-18
"NDST4",8.45215194148843,0.719362836724925,5.31032091867011e-20,4.18919560471869e-18
"SMTN",2.83899803580574,6.11212395559536,6.11551292154475e-20,4.80097451297193e-18
"TLL1",-4.15109623055462,2.24777821696638,6.43103416085889e-20,5.02428427291836e-18
"CCL21",-2.69260296967955,10.1519684716655,6.51632965355583e-20,5.06644630563966e-18
"ZNF503-AS1",5.32492335914711,0.809609168188704,7.23447269180616e-20,5.59788958717174e-18
"KANK4",4.07551707259577,1.23065610208742,7.4037261195611e-20,5.70157422883534e-18
"KCNMB2",5.63739397869089,0.501242832761044,7.73750573172037e-20,5.93037643096596e-18
"PRKACA",1.59255420614754,7.09854038674177,8.12055229016052e-20,6.19460243568283e-18
"EXOC3L1",4.2427328228299,5.15753993355658,1.94306314036708e-19,1.47526840873316e-17
"CYP4F3",5.3797628415719,2.41252490408126,1.95318173072866e-19,1.47602125931514e-17
"PTX3",4.42015245994905,4.15244246847657,2.06193023114075e-19,1.55095514874456e-17
"GPR97",4.61085741708692,3.31859555525065,2.0752551893749e-19,1.55375124641532e-17
"COL20A1",6.53146910104839,0.255834100197166,2.25530713786649e-19,1.68077543933534e-17
"NTF3",3.83460770429783,1.67356402925707,2.82833860878636e-19,2.09816018262812e-17
"ITGA2B",3.26718602927138,1.79999314861233,3.166950975138e-19,2.33862699406081e-17
"SLC16A14",2.33619576417034,3.88056693638113,3.32381587514777e-19,2.44330683331317e-17
"NLRP12",4.5231589557548,1.63575382722824,3.48268824295675e-19,2.54850833778718e-17
"ANKRD29",-2.88320437293503,4.56795507374141,4.00721376467421e-19,2.91912887397798e-17
"PCDH20",5.40923545989621,1.4522574551437,4.21099909176956e-19,3.05382409471289e-17
"TCF7L2",2.16803688892903,5.57643306605525,4.24291630486987e-19,3.06323403939087e-17
"STC2",3.56009185977187,4.43453501959208,4.30642208800885e-19,3.09526480032352e-17
"CCDC178",4.61770321960814,1.54285732287006,5.01228890332444e-19,3.58666974090986e-17
"MATN2",-1.63203384221503,5.43383516145547,5.66792550051952e-19,4.03795996451109e-17
"ARHGEF40",3.62705887218972,7.11840894984113,6.3292939722046e-19,4.48935711046021e-17
