"","logFC","logCPM","PValue","FDR"
"NPTX2",5.77634859769887,3.37828700592556,3.06570397850141e-16,1.64805036965342e-14
"TNFSF11",-5.13160741754982,4.0200977632824,3.57588370233717e-16,1.90227602744068e-14
"SLC22A3",-4.46904346324644,4.99979792055002,3.85066205335093e-16,2.03506231133305e-14
"TAC1",10.1572323464249,3.68361596686318,4.15769927693693e-16,2.19017305233303e-14
"PPP1R14A",4.80432932153889,3.59514553382121,5.08365453742135e-16,2.65202777997348e-14
"NFE2",4.83424866228078,2.60025092599066,8.33039078437591e-16,4.23644904921155e-14
"CNTN3",4.25495770024855,2.42918906253046,8.85985576771982e-16,4.48064796075722e-14
"RP11-320G24.1",5.7529209405894,0.609124450421137,8.86598656593069e-16,4.48064796075722e-14
"ACR",5.14347799444351,0.0831660240868445,9.44588731115443e-16,4.71478054308609e-14
"RAET1E",4.51105958782208,0.107084836433497,1.25836943608828e-15,6.18551687550747e-14
"DCAF12L1",5.62326278379966,0.808630487484032,1.49584145535544e-15,7.28636988433983e-14
"ADIPOQ",-8.65483759250144,1.19418675397861,2.06084620211115e-15,9.94865814344522e-14
"SIGLEC11",5.5082004897862,4.91049029255251,2.24273487967438e-15,1.07624654225799e-13
"FLJ44511",4.9314087947447,0.850701406576555,2.315913846827e-15,1.10807570209723e-13
"MTHFD2P1",8.0399226516473,0.352349249032274,2.75580281323572e-15,1.30312406712421e-13
"SLC11A1",5.53393014048117,5.11845763426206,2.91128378806171e-15,1.36467482378359e-13
"LOC100506497",4.8626471762037,0.613652609768975,5.64289994713985e-15,2.5999139015711e-13
"FGF17",4.25164087020598,0.711441825422774,7.71279939608321e-15,3.52348564501293e-13
"AQP9",4.84049370383618,4.65207008281497,8.46872910151254e-15,3.83631056105492e-13
"ELF5",6.01357876181088,0.412001219486385,8.85970120551597e-15,4.00220915909509e-13
"ANKRD20A19P",5.62901110880364,0.0857338853021724,9.10201246344612e-15,4.08794211944515e-13
"NAT2",5.21619196311838,-0.252270226069532,1.01719969974608e-14,4.54424131057833e-13
"NPY6R",4.30010010758092,2.42939523697726,3.34460810505279e-14,1.41965885235994e-12
"S100P",5.25841064636409,2.21912445491577,7.23814898405665e-14,2.99374284834179e-12
"LOC101928836",5.04669729241454,0.000568776947975587,7.81468320436769e-14,3.20759027363031e-12
"PF4",4.07061217359931,1.22379202866899,1.38191297000361e-13,5.51809791380207e-12
"BMPR1B",4.68176003237315,1.31201655136511,2.05674179458693e-13,8.07321075292714e-12
"UG0898H09",6.87822477802682,-0.61326408198663,2.29489436069208e-13,8.94289918099094e-12
"PROK2",4.32075973488114,1.89940069327646,2.49880644490425e-13,9.71411005456527e-12
"SLC26A7",-4.98575693983681,3.77418861739209,2.8768676942544e-13,1.10773105598767e-11
"CYTL1",-4.15746721953148,1.14134220632679,3.15229800958027e-13,1.20803230831593e-11
"HOXC8",-8.85097695218436,1.37706529184115,3.24138155359033e-13,1.2392345741055e-11
