"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA10",69.6683174821824,-0.153415882431763,0.29027020684771,-0.528527829631004,0.597133036622723,0.747580946510001
"GOLGB1",1995.02936088794,0.11369145550511,0.215103318655668,0.52854347490149,0.597122180791827,0.747580946510001
"EGLN3",149.417200370386,-0.134260986212965,0.254039057245888,-0.528505292329959,0.597148674805388,0.747580946510001
"CACNB1",135.93202758316,0.151713971930783,0.287092778342841,0.528449279729388,0.597187541635945,0.747584452411515
"UTP14C",517.171536551021,0.0779932518472848,0.147652788922882,0.528220648023248,0.597346199830349,0.74773435869003
"DCXR",254.120975032102,0.138831852300219,0.262853111961664,0.528172754981372,0.597379437471386,0.74773435869003
"C4orf3",2236.171581623,-0.0847913263858241,0.160569722192882,-0.528065473539087,0.597453893552075,0.747782398740861
"TIA1",2643.25592712139,-0.106231090196942,0.201200157477799,-0.527987112577999,0.597508280740657,0.747805315975868
"CISD2",261.639701814609,-0.126705602065287,0.240013668537209,-0.527909942952454,0.597561843270381,0.747827198412634
"EXOSC4",101.029115011351,0.173201809850387,0.328191135652387,0.527746764110773,0.597675110970968,0.747923792574633
"LINC00563",2.4310977668229,-0.512769150542756,0.972133238938973,-0.527467974557082,0.597868650366511,0.748120820090374
"ZNF518B",548.165309242454,-0.0982007090048858,0.186199491120353,-0.527395152446535,0.597919209127588,0.748129345268426
"TRBC2",71.8248103760965,-0.614819357835935,1.16585658854788,-0.527354190794357,0.597947648739001,0.748129345268426
"ARRDC3-AS1",24.9832033265488,-0.225774413419623,0.4286738915453,-0.526681045597955,0.598415100379303,0.748618148906652
"LOC102723915",2.29375529650704,-0.673661152270988,1.27924032484308,-0.526610316442005,0.598464226392169,0.748618148906652
"LOC101926956",3.50656228927988,0.516596534110957,0.981034253276637,0.526583585012994,0.598482793589933,0.748618148906652
"CHD6",1278.13326051541,-0.107736592954026,0.204589510909529,-0.52659880985623,0.59847221863969,0.748618148906652
"C5orf24",978.725327281244,-0.0709933483571739,0.134849216419021,-0.526464671003904,0.598565392413464,0.748633777114262
"SLX1A-SULT1A3",1.54187939669881,0.708014971018034,1.34485585131007,0.526461605776062,0.598567521618809,0.748633777114262
"SLC44A5",33.0115237928498,0.408294542613864,0.775991469775139,0.526158544928562,0.598778054342721,0.748847754428916
"DYNLRB2",3.22513787149511,-0.432337145891065,0.821841045863912,-0.526059325056704,0.598846988489662,0.748847754428916
"NXT1",158.516659298473,-0.124186042683738,0.236068304038577,-0.526059790997797,0.59884666476332,0.748847754428916
"TMEM258",392.371663315272,0.180513181125756,0.343266728269596,0.52586856301431,0.598979532720985,0.748968314787995
"UCP3",39.767203258038,0.149936635542087,0.28521122563902,0.525703836537821,0.599093997762571,0.74903986475426
"VWA3A",8.19417245112547,0.347010259633114,0.66011414109745,0.525682208619564,0.599109027294523,0.74903986475426
"LIMD1-AS1",7.98703987843981,0.279639746549758,0.532034104663266,0.525604926636699,0.59916273298237,0.749061829267706
"UBE3D",48.7639915457231,-0.143042162602018,0.272441639534497,-0.525037813039243,0.599556904839087,0.749509409776527
"UBE2B",1053.40094693029,0.0775361972536947,0.147697759994916,0.524965288954713,0.599607321114108,0.749527231459005
"ANAPC11",382.544104979935,-0.170816224697238,0.325539125453642,-0.524717956587256,0.599779272591761,0.749696964498704
"ANKRD16",93.7944923360766,-0.100813708055549,0.192172152236541,-0.524601025082234,0.599860573988176,0.749753375399596
"PCDH11Y",2.80254182534919,-1.07433448937348,2.04831573059349,-0.524496528209642,0.599933233919461,0.749798979359818
"ERBB3",14.9383501778492,0.3048617226473,0.58144654834793,0.524315990031253,0.600058777123434,0.749910667563882
"LOC101927344",7.47852141475608,-0.370403862597467,0.706549061958938,-0.524243654885772,0.600109081098361,0.749928319346887
"UBXN1",1449.61636096058,-0.11946093961534,0.227901469596742,-0.524178013536808,0.600154731662498,0.749940154201848
"LOC729041",4.19702681552645,0.444816011443749,0.848910157265964,0.523984791130715,0.600289118149071,0.750032862233574
"RTCA",620.610519553126,-0.0996551036362367,0.190212254179776,-0.523915265427901,0.600337476713491,0.750032862233574
"PSMB5",552.85949909598,-0.128153254473038,0.24458957644461,-0.523952231881229,0.600311764497859,0.750032862233574
"TRA2A",1554.5759540501,-0.108492584544539,0.20712873124558,-0.523793024232384,0.600422505781093,0.750093882583806
"WDR83OS",446.363383405972,-0.108222564231696,0.206687221862414,-0.523605490733901,0.600552961738436,0.750211642916549
"VIPAS39",419.532193204597,-0.0929048914275708,0.17754371052173,-0.523278978199567,0.600780127753868,0.750450192122586
"TYSND1",397.571966505422,0.132028088066556,0.252374737520448,0.523143042618752,0.600874714264215,0.750523114026433
"KLHDC8A",6.1359869802791,0.426899492988714,0.816509654956603,0.522834592827201,0.601089364323874,0.750655521370361
"SNF8",486.963796235896,-0.100207669993018,0.191661834423156,-0.522835807632819,0.601088518873322,0.750655521370361
"LOC101929125",14.0672821887779,0.304197593029889,0.581817210722981,0.522840485677427,0.601085263167849,0.750655521370361
"CHD9",1300.57431676199,-0.13159507808683,0.251757937780651,-0.522704782406839,0.601179709683422,0.75072311719489
"LOC101929576",2.5054053804713,-0.601739111334125,1.15134142233669,-0.522641763476965,0.601223571761759,0.750732662378177
"EPHB3",64.9332284066087,0.314466071961076,0.601863200774618,0.522487621034727,0.601330863198778,0.750776179519593
"KMT2E-AS1",160.862127511271,0.166727812262683,0.319083367760071,0.522521162519669,0.601307515784119,0.750776179519593
"LOC100996549",2.68880167324198,0.512158894480886,0.980407343005834,0.522393980557772,0.601396046230672,0.750812337906966
"SPESP1",17.5861781161931,0.396301179548252,0.758743047070984,0.522312765933229,0.601452582222568,0.750837697200035
"ERI2",144.80508229364,-0.143553832219127,0.274870266960461,-0.522260315044467,0.601489096170098,0.75083805994663
"ZNF619",144.84679170071,0.132591117083959,0.253981172575063,0.522050968344013,0.601634843881135,0.750916058268692
"IGHV3-72",5.3593563660597,0.503068063090819,0.963611067183656,0.522065468344126,0.60162474843027,0.750916058268692
"RAB3A",32.0628323788825,0.201845274307146,0.386666058077549,0.522014462067587,0.60166026127588,0.750916058268692
"PIGV",195.941410628286,-0.122732451160596,0.235143105601613,-0.52194790422022,0.601706603240978,0.750928681556927
"WDSUB1",188.969380361628,0.107509861443279,0.206085211144908,0.521676741606091,0.601895421184307,0.751119102366545
"FKTN",407.400164000456,-0.113071766032497,0.216789877291622,-0.52157308932093,0.601967604162308,0.751163957562839
"ZNF169",115.368037867642,0.1493561636158,0.286407236946246,0.521481807541868,0.60203117560803,0.751167641704587
"NDUFV1",1453.93900498118,0.103804710886164,0.19906370488464,0.52146477905814,0.602043035104125,0.751167641704587
"LOC102723539",10.9684204318544,0.310397090682509,0.595407304014926,0.521318916629762,0.602144625380268,0.751249175086205
"FAM124B",20.0645903348536,0.181013508498225,0.347340106380034,0.521141973452882,0.602267873148419,0.751357717401169
"TIGD6",80.5078850216453,0.131682431128569,0.252705884487065,0.521089690474972,0.60230429244063,0.751357930531378
"RNPC3",664.072243472593,-0.162502709068157,0.311981564036163,-0.520872794423585,0.602455388551677,0.751501191183677
"CHCHD5",119.286271731516,0.14612038004061,0.280669098784319,0.520614419875615,0.602635402072116,0.751635273731923
"C16orf74",68.585731073409,0.183660736392577,0.352761591767321,0.520636998694909,0.602619670095783,0.751635273731923
"LOC101930332",6.49264777180035,0.376826892623914,0.724237992182873,0.520308098568742,0.602848852209503,0.751856258038423
"PRKAB2",517.104225227471,0.12009290552439,0.230998857588181,0.519885278993407,0.603143536302481,0.75217852237999
"H1FX-AS1",62.2371559603507,0.209221123090587,0.402606384904805,0.519666679255612,0.603295914791929,0.752278031751615
"LOC102723808",1.46657173535031,0.897755895576369,1.72756088777007,0.519666717353848,0.603295888233427,0.752278031751615
"LARP1",3127.93520036445,-0.107637263059562,0.207266824763877,-0.519317373545836,0.603539439926417,0.752445898640368
"LOC101559451",1.78944983384098,-0.841376875077016,1.62010668304291,-0.519334241308559,0.603527679228713,0.752445898640368
"MOSPD1",153.893340261412,-0.0818578775419231,0.157610401665393,-0.519368497744886,0.603503794956072,0.752445898640368
"CERKL",132.297710636343,0.156999453148621,0.302540221551523,0.518937456789968,0.603804356291202,0.752492982185569
"GPAA1",855.398832853111,0.142405694941009,0.274438291840931,0.518898780435313,0.603831328285053,0.752492982185569
"SAMD8",720.77013760164,0.0790449807126909,0.152289684088481,0.519043566120772,0.603730360881757,0.752492982185569
"ZC3H10",181.898016721758,0.120974399211723,0.233087984534578,0.519007444563392,0.60375554981533,0.752492982185569
"SHPK",203.792073039104,-0.087723214755432,0.169034345410851,-0.518966808444841,0.603783887488284,0.752492982185569
"MRPL45P2",23.9141234736165,-0.190432026532792,0.36685904081708,-0.519087729468669,0.60369956474396,0.752492982185569
"ZNF461",124.340182191813,-0.111039562898334,0.213884675243053,-0.519156235817979,0.603651795057568,0.752492982185569
"TANGO6",339.505810537759,-0.11161694361514,0.215257189335852,-0.518528296125763,0.604089722884114,0.752748142059232
"SERHL2",60.8378205808271,-0.158018714008997,0.304760629381974,-0.518501075186268,0.604108710109771,0.752748142059232
"PRNP",2101.60385385473,0.153558016705802,0.296232609840104,0.518369725698623,0.604200333137092,0.752817053694737
"TSPAN1",18.3883368148961,0.245284640299232,0.473309779454279,0.518232774699993,0.604295870149933,0.75282404602068
"LOC101927030",16.1475366070938,-0.229548406420275,0.443040947148761,-0.518120069708137,0.604374498235479,0.75282404602068
"HUS1B",1.4745990494712,0.899220687961694,1.73574837107173,0.518059358688306,0.604416854884001,0.75282404602068
"ZNF3",440.886618678465,0.0658688871361115,0.127096074484883,0.518260594617702,0.604276462427261,0.75282404602068
"LOC100129722",5.25526412200883,0.422000811632584,0.81444034862778,0.518148213486227,0.604354863436381,0.75282404602068
"SNORD42B",2.89583511829384,0.496589479256344,0.958575683874335,0.518049317972731,0.604423860183142,0.75282404602068
"TBX21",276.862269037165,0.169076573180267,0.326473547316949,0.517887512081104,0.604536755436124,0.752919417573753
"TRNAC3",4.38117395522658,0.449764088405987,0.868836292712927,0.517662639300675,0.604693669446908,0.75306959747029
"SNORA55",4.85779803118623,-0.372722017677443,0.720162560303164,-0.517552616898801,0.604770448650514,0.753119967535467
"ERLEC1",1022.30786668946,-0.138784750330131,0.268301765879009,-0.517271102839914,0.604966923320616,0.753318198894691
"LILRB1_2",24.6549538874581,0.341025248685952,0.659342233762584,0.517220392116954,0.605002318458121,0.753318198894691
"LINC00035",1.77180983515081,0.653837052303769,1.26445788184724,0.5170888344249,0.605094147598269,0.753342032038976
"KLHL10",1.97723360998319,0.609793847607455,1.17921141357994,0.51712003512262,0.60507236850236,0.753342032038976
"LOC100129781",2.84476538902245,-0.604631535493259,1.17011832963026,-0.516726830255118,0.605346863899432,0.753611399093539
"KCNK5",135.165111589069,-0.164053581690053,0.317638858862622,-0.516478312123034,0.605520382594511,0.753650234508327
"TNRC6A",1566.13797248116,-0.117946044674149,0.228367890472821,-0.516473854664725,0.605523495055079,0.753650234508327
"FAM129C",1809.18197123945,0.202015031825267,0.391076873656139,0.516560925571101,0.605462698304537,0.753650234508327
"APOL3",2036.14986520529,0.156845228325393,0.3036101044928,0.516600817971498,0.605434844582918,0.753650234508327
"FAM198A",37.3283061256757,-0.220098613668052,0.426453040653229,-0.516114537091613,0.605774415364728,0.753780632865036
"THBS2",407.770192336073,-0.263047651268232,0.509719586966912,-0.516063455268606,0.605810090838413,0.753780632865036
