"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003002","GO:0003002","regionalization","48/1070","360/18903",2.91171467879045e-08,3.57531476837526e-06,2.691465024997e-06,"7490/5046/1482/64388/6997/718/7092/2246/2114/9096/7472/4038/8854/10512/6405/658/64321/3224/3215/3201/6495/58524/6422/1044/650/57453/79191/126668/3225/3223/4223/2018/2019/3226/2296/4488/7476/23493/4188/80319/6899/2294/57801/4091/6423/6790/7516/4487",48
"GO:0001667","GO:0001667","ameboidal-type cell migration","59/1070","492/18903",3.96320653996717e-08,4.7558478479606e-06,3.58015978347274e-06,"4846/223117/3373/3691/80005/10501/7010/2697/3673/1908/10769/6997/79812/1000/285/2246/6869/9564/7422/5801/284/10512/6286/23500/6405/9353/64321/6915/57449/153090/7869/2523/2050/56920/7145/7042/1634/3162/2252/4223/8692/9314/3037/116844/84830/55612/9464/306/79899/7476/130399/1947/27286/6899/3458/5764/85329/54443/6662",59
"GO:0008016","GO:0008016","regulation of heart contraction","34/1070","214/18903",4.5495996572663e-08,5.33819693119246e-06,4.01854697212574e-06,"4846/776/1482/2697/1908/147/3768/9096/6909/857/7139/481/6474/3762/146/134/7042/79191/10052/7068/6262/3752/153/10699/6324/148/6508/23493/477/6505/6330/3759/5348/8913",34
"GO:1905818","GO:1905818","regulation of chromosome separation","23/1070","111/18903",5.03605728028469e-08,5.78051792171808e-06,4.35152226323913e-06,"57520/4085/55143/891/9212/23397/83540/9319/1063/9232/64151/701/7272/9787/11130/991/699/990/9700/332/5347/11065/1062",23
"GO:0033674","GO:0033674","positive regulation of kinase activity","59/1070","496/18903",5.2904461907121e-08,5.94330976318296e-06,4.47407050753167e-06,"2045/84632/2264/3643/2046/7010/1908/6997/6366/4908/2246/7422/6363/8600/9370/146433/6556/284/2261/658/151/4920/153090/558/1946/1191/2044/388121/2050/4593/7436/134/5154/7042/650/6622/2069/8325/7301/55890/6283/152/7098/148/4058/2146/1116/5156/6505/891/3458/22974/11211/3481/1164/990/1062/9928/116",59
"GO:0003151","GO:0003151","outflow tract morphogenesis","19/1070","80/18903",7.37940977196479e-08,7.98694163395924e-06,6.0124983273186e-06,"1482/7422/2627/6909/10512/64321/7049/6495/6664/7042/2296/9464/4886/4488/23493/6899/4091/6423/4889",19
"GO:0060047","GO:0060047","heart contraction","37/1070","250/18903",7.858382332837e-08,7.98694163395924e-06,6.0124983273186e-06,"4846/2257/776/1482/2697/1908/147/3768/9096/2627/6909/857/7139/481/6474/3762/146/134/7042/79191/10052/7068/6262/3752/85366/153/10699/6324/148/6508/23493/477/6505/6330/3759/5348/8913",37
"GO:0061564","GO:0061564","axon development","58/1070","490/18903",8.1552666721969e-08,7.98694163395924e-06,6.0124983273186e-06,"2045/223117/57408/128434/1002/140578/2046/9369/10501/3918/1908/8633/84631/1000/1826/65059/7422/4038/2115/494470/3909/8997/10512/6405/658/9353/55740/1946/7869/57549/2044/6474/5364/146760/2050/56920/1009/4685/23767/57453/54538/9314/4897/5803/65078/347/6324/90249/347733/7476/1947/4803/1719/7345/10381/5764/1749/5457",58
"GO:0003015","GO:0003015","heart process","38/1070","261/18903",8.16382211009736e-08,7.98694163395924e-06,6.0124983273186e-06,"4846/2257/776/1482/2697/1908/147/3768/9096/2627/6909/857/7139/481/6474/3762/146/134/7042/79191/10052/7068/6262/3752/85366/153/10268/10699/6324/148/6508/23493/477/6505/6330/3759/5348/8913",38
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","15/1070","51/18903",8.27666369649534e-08,7.98694163395924e-06,6.0124983273186e-06,"4085/55143/891/9212/83540/9319/1063/9232/701/7272/11130/991/699/332/5347",15
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","15/1070","51/18903",8.27666369649534e-08,7.98694163395924e-06,6.0124983273186e-06,"4085/55143/891/9212/83540/9319/1063/9232/701/7272/11130/991/699/332/5347",15
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","15/1070","51/18903",8.27666369649534e-08,7.98694163395924e-06,6.0124983273186e-06,"4085/55143/891/9212/83540/9319/1063/9232/701/7272/11130/991/699/332/5347",15
"GO:0030595","GO:0030595","leukocyte chemotaxis","36/1070","240/18903",8.31973086870754e-08,7.98694163395924e-06,6.0124983273186e-06,"6372/5473/3577/3579/2919/1908/6366/3672/2867/7422/6363/8600/1441/146433/54210/5196/9353/27202/1524/3680/6279/9420/7042/6280/6357/6283/4192/2920/2358/6376/4283/6361/7130/5764/3929/6364",36
"GO:0035637","GO:0035637","multicellular organismal signaling","29/1070","170/18903",9.17075429872615e-08,8.6467111959418e-06,6.50916696090037e-06,"2257/776/1482/2697/3673/10242/54112/9096/11280/857/481/58524/146183/3762/1134/79191/10052/6262/6332/3752/4897/10699/6324/6508/477/6330/6335/3759/8913",29
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","21/1070","98/18903",1.03917545541073e-07,9.62604632380464e-06,7.2464016983027e-06,"57520/4085/55143/891/9212/83540/9319/1063/9232/701/7272/9787/11130/991/699/990/9700/332/5347/11065/1062",21
"GO:0060326","GO:0060326","cell chemotaxis","43/1070","319/18903",1.11789925932167e-07,1.01360563768746e-05,7.63033271114006e-06,"6372/5473/3577/3579/2919/1908/6366/2246/185/3672/2867/9564/7422/6363/8600/1441/146433/54210/5196/9353/57449/27202/1524/3680/6279/9420/7042/6280/6357/6283/4192/2920/5156/2358/6376/4283/6361/7130/1232/5764/3929/6364/1398",43
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","22/1070","107/18903",1.13262751180985e-07,1.01360563768746e-05,7.63033271114006e-06,"57520/116028/4085/55143/891/9212/83540/9319/1063/9232/701/7272/9787/11130/991/699/990/9700/332/5347/11065/1062",22
"GO:0048568","GO:0048568","embryonic organ development","54/1070","449/18903",1.36027149342399e-07,1.1459254310772e-05,8.62642429774225e-06,"6943/3373/65009/1482/6913/5396/3340/7173/5754/9096/7422/7472/187/51294/8854/10763/6909/64321/3215/6474/3201/6495/6664/64220/5154/7042/115908/57453/6262/3225/1305/2019/2296/9464/2487/116039/347733/579/23493/5156/144455/4188/10804/6899/2294/8516/1749/3249/79733/10733/3481/430/6662/4487",54
"GO:0007548","GO:0007548","sex differentiation","40/1070","288/18903",1.37745851535151e-07,1.1459254310772e-05,8.62642429774225e-06,"2516/6943/7490/4846/269/3643/1718/5806/55366/7422/1602/2627/658/9353/4920/558/5241/64478/58524/6422/4327/64220/5154/7042/1271/2069/7301/2296/7098/7476/5156/83990/7130/81930/10468/6423/259266/6662/11144/638",40
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","14/1070","46/18903",1.38900052251782e-07,1.1459254310772e-05,8.62642429774225e-06,"4085/55143/891/9212/83540/9319/1063/701/7272/11130/991/699/332/5347",14
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","14/1070","46/18903",1.38900052251782e-07,1.1459254310772e-05,8.62642429774225e-06,"4085/55143/891/9212/83540/9319/1063/701/7272/11130/991/699/332/5347",14
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","14/1070","46/18903",1.38900052251782e-07,1.1459254310772e-05,8.62642429774225e-06,"4085/55143/891/9212/83540/9319/1063/701/7272/11130/991/699/332/5347",14
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","15/1070","53/18903",1.45803654994282e-07,1.16642923995425e-05,8.78077513968752e-06,"4085/55143/891/9212/83540/9319/1063/9232/701/7272/11130/991/699/332/5347",15
"GO:1905819","GO:1905819","negative regulation of chromosome separation","15/1070","53/18903",1.45803654994282e-07,1.16642923995425e-05,8.78077513968752e-06,"4085/55143/891/9212/83540/9319/1063/9232/701/7272/11130/991/699/332/5347",15
"GO:0014706","GO:0014706","striated muscle tissue development","37/1070","257/18903",1.61288314530701e-07,1.25883099537765e-05,9.47636730172646e-06,"7490/65009/1482/2697/9096/7422/7472/8854/2627/6909/10512/115701/7139/2242/7049/6474/7042/650/79191/57158/10052/6262/85366/8470/2296/148/4488/23493/5156/10804/55553/1063/983/5457/8913/4487/27063",37
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","20/1070","92/18903",1.62122173647121e-07,1.25883099537765e-05,9.47636730172646e-06,"57520/4085/55143/891/9212/83540/9319/1063/701/7272/9787/11130/991/699/990/9700/332/5347/11065/1062",20
"GO:0051306","GO:0051306","mitotic sister chromatid separation","21/1070","101/18903",1.79207062033003e-07,1.37132360512211e-05,1.03232016206959e-05,"57520/4085/55143/891/9212/83540/9319/1063/9232/701/7272/9787/11130/991/699/990/9700/332/5347/11065/1062",21
"GO:0031577","GO:0031577","spindle checkpoint signaling","14/1070","47/18903",1.87578392692666e-07,1.41487701916754e-05,1.06510678316919e-05,"4085/55143/891/9212/83540/9319/1063/701/7272/11130/991/699/332/5347",14
"GO:0035296","GO:0035296","regulation of tube diameter","26/1070","147/18903",2.01157378161611e-07,1.47515410651848e-05,1.11048283616702e-05,"4846/80005/4922/1908/147/3043/10242/6869/185/3672/4883/5029/857/80852/6915/151/146/134/153/1131/2149/152/2296/148/477/6338",26
"GO:0097746","GO:0097746","blood vessel diameter maintenance","26/1070","147/18903",2.01157378161611e-07,1.47515410651848e-05,1.11048283616702e-05,"4846/80005/4922/1908/147/3043/10242/6869/185/3672/4883/5029/857/80852/6915/151/146/134/153/1131/2149/152/2296/148/477/6338",26
"GO:0021700","GO:0021700","developmental maturation","41/1070","304/18903",2.16627749494997e-07,1.56684180456655e-05,1.17950451635632e-05,"59277/2046/84966/718/6366/23025/162466/5064/7422/6363/8854/2261/153090/558/5241/5364/1524/3745/7042/650/1001/2069/25893/5745/126668/646/342035/55638/4897/55612/375790/4488/59067/6376/9319/6790/991/7298/8419/9928/11144",41
