"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015081","GO:0015081","sodium ion transmembrane transporter activity","19/1074","156/18432",0.00185160676216406,0.0317582377640103,0.0266615136297414,"6553/57282/11280/57030/481/6535/83959/6332/6324/10568/477/6505/6330/495/6335/9033/6523/6338/8913",19
"GO:0005267","GO:0005267","potassium channel activity","16/1074","122/18432",0.00192261440164596,0.0317582377640103,0.0266615136297414,"9312/3768/10242/3772/3745/57582/3762/6616/3752/7881/30818/3777/9033/3759/30820/3773",16
"GO:0003774","GO:0003774","cytoskeletal motor activity","15/1074","111/18432",0.00194838211162282,0.0317582377640103,0.0266615136297414,"4651/57576/124602/54112/64446/547/23026/11004/3832/81930/10112/56992/347240/1062/9928",15
"GO:0003779","GO:0003779","actin binding","41/1074","439/18432",0.0019806917674429,0.0317582377640103,0.0266615136297414,"83543/22998/4846/84448/54212/4651/11170/29109/85358/6710/116154/29964/6525/4210/9050/11346/23500/55740/26030/64236/7139/10634/79778/7145/54221/57619/6622/79983/9172/56203/25924/257144/55612/6712/55607/11013/10804/23026/81930/81624/54443",41
"GO:0008022","GO:0008022","protein C-terminus binding","21/1074","181/18432",0.00202210187057899,0.0317582377640103,0.0266615136297414,"54212/5787/85358/9223/9454/6857/481/22941/1893/9351/4059/4085/55137/10516/5888/3777/1063/7153/29899/991/4288",21
"GO:0016782","GO:0016782","transferase activity, transferring sulphur-containing groups","11/1074","69/18432",0.00202716690224286,0.0317582377640103,0.0266615136297414,"83539/23302/9348/9951/3340/64579/25830/56548/166012/10164/6799",11
"GO:0005160","GO:0005160","transforming growth factor beta receptor binding","6/1074","24/18432",0.00209590159740113,0.0317582377640103,0.0266615136297414,"25805/7049/7042/116844/65997/4091",6
"GO:0005248","GO:0005248","voltage-gated sodium channel activity","6/1074","24/18432",0.00209590159740113,0.0317582377640103,0.0266615136297414,"11280/6332/6324/6330/6335/8913",6
"GO:0005540","GO:0005540","hyaluronic acid binding","6/1074","24/18432",0.00209590159740113,0.0317582377640103,0.0266615136297414,"23166/8692/10894/55576/7130/3161",6
"GO:0008227","GO:0008227","G protein-coupled amine receptor activity","9/1074","51/18432",0.00248611688839502,0.0370431416370858,0.0310982691478184,"1132/147/151/146/153/1131/152/148/3355",9
"GO:0008083","GO:0008083","growth factor activity","19/1074","162/18432",0.00285589814773869,0.0413312618405221,0.0346982099285203,"5473/2257/2919/6997/4908/2246/7422/146433/8822/5154/7042/650/2069/2252/4192/29948/4803/5764/3481",19
"GO:0048029","GO:0048029","monosaccharide binding","11/1074","72/18432",0.00286637386366037,0.0413312618405221,0.0346982099285203,"79748/6403/81035/49/10332/3101/339390/6518/5836/30835/283208",11
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","5/1074","18/18432",0.00301285859345696,0.0427538981357226,0.0358925342879668,"3673/4023/26279/375790/10468",5
"GO:0005244","GO:0005244","voltage-gated ion channel activity","22/1074","201/18432",0.00332968578785423,0.045147481397713,0.0379019830879188,"53405/776/9312/3768/11280/3772/3745/57582/3762/6616/6332/3752/6324/7881/30818/3777/6330/6335/3759/30820/3773/8913",22
"GO:0022832","GO:0022832","voltage-gated channel activity","22/1074","201/18432",0.00332968578785423,0.045147481397713,0.0379019830879188,"53405/776/9312/3768/11280/3772/3745/57582/3762/6616/6332/3752/6324/7881/30818/3777/6330/6335/3759/30820/3773/8913",22
"GO:0042277","GO:0042277","peptide binding","32/1074","330/18432",0.00333303553942848,0.045147481397713,0.0379019830879188,"590/1393/3643/1718/3673/29953/948/2028/4883/4888/2861/10332/1191/7042/6752/5745/10316/10268/23428/4886/2358/320/64084/23542/10381/2893/3929/4889/28672/30835/2892/10288",32
