"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099699","GO:0099699","integral component of synaptic membrane","22/1109","155/19869",5.11467197525792e-05,0.00104490185997574,0.000782867647412165,"2045/27253/2561/57406/57497/1000/53826/145581/2823/23767/134/1134/9066/3752/2913/4897/5789/148/9127/64084/57622/2894",22
"GO:0099240","GO:0099240","intrinsic component of synaptic membrane","23/1109","166/19869",5.12206794105755e-05,0.00104490185997574,0.000782867647412165,"594855/2045/27253/2561/57406/57497/1000/53826/145581/2823/23767/134/1134/9066/3752/2913/4897/5789/148/9127/64084/57622/2894",23
"GO:0034702","GO:0034702","ion channel complex","34/1109","296/19869",5.42930169438893e-05,0.00106497840928398,0.000797909520268494,"1137/53405/1804/2561/776/9312/57406/10242/1259/11280/3745/3762/285175/1134/6262/6332/3752/6263/57101/6324/7881/3359/30818/6330/6335/9033/3759/30820/2893/3773/6338/2892/2568/8913",34
"GO:0005819","GO:0005819","spindle","44/1109","426/19869",6.39296854919058e-05,0.00120756072595822,0.00090473589994393,"92421/3579/10769/11076/6623/10382/81027/57520/4085/347733/51203/55143/891/9212/11004/29127/1063/22974/10381/983/3832/701/81930/79801/7272/9787/29899/10733/6790/150468/991/259266/10112/56992/990/9700/332/10615/5347/221150/1062/3161/9928/4751",44
"GO:0042383","GO:0042383","sarcolemma","20/1109","136/19869",6.67153479433834e-05,0.00121517240896877,0.000910438770806323,"776/1000/858/857/5152/481/3745/633/54221/6262/3752/6263/8291/6518/6324/148/477/6442/3759/5348",20
"GO:0030667","GO:0030667","secretory granule membrane","35/1109","313/19869",7.35642987758125e-05,0.00123850747932967,0.000927922012377028,"3577/5787/3579/6403/51365/948/2215/3674/5799/6556/858/857/5099/6857/5104/161/64386/6622/6616/1084/8972/94121/6518/5317/547/2357/284359/4680/1363/2358/401258/11001/1088/10288/762",35
"GO:0098984","GO:0098984","neuron to neuron synapse","38/1109","351/19869",7.40339186927783e-05,0.00123850747932967,0.000927922012377028,"2045/1501/85358/57497/1000/5064/6695/4038/55450/8997/9829/80852/11346/79870/9454/145581/6857/4900/23767/134/22941/9066/3752/2913/4897/1740/5789/55607/7781/9127/64084/6505/23542/57622/8516/8224/6854/2894",38
"GO:0005581","GO:0005581","collagen trimer","15/1109","86/19869",7.52818271749407e-05,0.00123850747932967,0.000927922012377028,"57642/81035/9370/4060/51435/115908/129080/1294/342035/1305/2219/114905/131873/1288/11117",15
"GO:0005604","GO:0005604","basement membrane","16/1109","99/19869",0.000112996865093428,0.00180088753742651,0.00134927177726692,"64093/59277/3691/83872/10319/3918/79812/3909/3910/1946/341640/1294/340706/80144/375790/1288",16
"GO:0051233","GO:0051233","spindle midzone","9/1109","36/19869",0.000121846867758343,0.0018830879562653,0.00141085846878081,"55143/9212/29127/81930/6790/990/5347/1062/9928",9
"GO:0045178","GO:0045178","basal part of cell","31/1109","272/19869",0.000131321648901687,0.00196982473352531,0.00147584391799729,"3691/65009/7010/3673/10630/1000/360/5064/3672/10351/57282/366/115701/115111/9454/481/27202/3680/134/83959/23209/5745/222962/5031/1131/53919/1740/55966/23428/3773/1015",31
"GO:0000793","GO:0000793","condensed chromosome","31/1109","273/19869",0.000140419803710033,0.00204611713977476,0.00153300417283434,"92421/4085/79682/171484/5888/891/9212/23397/1111/83540/11004/1063/7153/64151/701/81930/79019/7272/11130/699/1058/332/10615/5347/55355/221150/1062/54821/4751/4288/11144",31
"GO:0001518","GO:0001518","voltage-gated sodium channel complex","6/1109","17/19869",0.000216675413799735,0.00298660705507743,0.00223764367594037,"11280/6332/6324/6330/6335/8913",6
"GO:0031092","GO:0031092","platelet alpha granule membrane","6/1109","17/19869",0.000216675413799735,0.00298660705507743,0.00223764367594037,"6403/948/3674/5099/6622/94121",6
"GO:0005796","GO:0005796","Golgi lumen","16/1109","106/19869",0.000255628189212942,0.00343079938154211,0.00257044411867861,"5046/4586/4060/2817/10082/2157/1464/633/5154/1634/375790/5549/7476/4803/7475/1668",16
"GO:0000940","GO:0000940","outer kinetochore","5/1109","12/19869",0.000305661391679357,0.00399711050657621,0.00299473914114998,"891/1063/701/5347/221150",5
"GO:0005871","GO:0005871","kinesin complex","10/1109","49/19869",0.000315376639969778,0.00402105215961467,0.00301267685023761,"57576/124602/26153/547/11004/3832/81930/10112/56992/9928",10
"GO:0070820","GO:0070820","tertiary granule","21/1109","164/19869",0.000325323783821197,0.0040467104816783,0.00303190073240294,"5473/5787/2919/3043/5806/5799/6556/5199/161/6616/978/8972/116844/5317/2357/1118/2358/7130/8993/1088/10288",21
"GO:0032279","GO:0032279","asymmetric synapse","34/1109","327/19869",0.000369195324825563,0.00444469147691077,0.00333007844400126,"2045/1501/85358/57497/1000/5064/6695/4038/55450/8997/9829/80852/11346/79870/9454/145581/4900/23767/134/22941/3752/2913/4897/1740/55607/9127/64084/6505/23542/57622/8516/8224/6854/2894",34
"GO:0014704","GO:0014704","intercalated disc","10/1109","50/19869",0.000374748497072869,0.00444469147691077,0.00333007844400126,"29109/2697/1000/481/10052/6324/477/6330/3759/5348",10
"GO:0099572","GO:0099572","postsynaptic specialization","35/1109","342/19869",0.000410121828378684,0.00475368482893475,0.00356158429907804,"2045/2561/1501/85358/57497/1000/5064/6695/4038/55450/8997/9829/80852/11346/79870/9454/145581/4900/23767/134/22941/1134/3752/2913/4897/1740/55607/9127/64084/23542/57622/8516/8224/6854/2894",35
"GO:0034706","GO:0034706","sodium channel complex","7/1109","26/19869",0.000426596913010289,0.00483476501411661,0.00362233168240316,"11280/6332/6324/6330/6335/6338/8913",7
"GO:0009925","GO:0009925","basal plasma membrane","28/1109","254/19869",0.000468303272743604,0.00519205802389648,0.00389002489716083,"3691/65009/7010/10630/1000/360/5064/10351/57282/366/115701/115111/481/27202/3680/134/83959/23209/5745/222962/5031/1131/53919/1740/55966/23428/3773/1015",28
"GO:0014069","GO:0014069","postsynaptic density","33/1109","321/19869",0.000546390257115312,0.00592891555593211,0.00444209772302034,"2045/1501/85358/57497/1000/5064/6695/4038/55450/8997/9829/80852/11346/79870/9454/145581/4900/23767/134/22941/3752/2913/4897/1740/55607/9127/64084/23542/57622/8516/8224/6854/2894",33
"GO:0098687","GO:0098687","chromosomal region","38/1109","388/19869",0.000560705292244783,0.00595749373010081,0.00446350923431702,"92421/4085/2146/79682/79075/55143/5888/3070/891/157570/9212/1111/83540/11004/113130/1063/983/7153/64151/701/81930/4173/79019/7272/1763/11130/4998/699/1058/332/10615/5347/55355/221150/1062/54821/4751/11144",38
"GO:0042581","GO:0042581","specific granule","20/1109","160/19869",0.000610723572939478,0.00635651065712518,0.00476246309295447,"5787/2919/948/5806/5199/64386/6616/1084/116844/6518/306/1118/1116/2358/401258/383/8993/11001/1088/3934",20
"GO:0098978","GO:0098978","glutamatergic synapse","33/1109","324/19869",0.000643002799704289,0.00655862855698375,0.00491389507984541,"2045/27253/57406/84631/4885/53826/80852/6405/9454/83992/145581/6857/4900/2823/1009/23767/22941/6616/2913/4897/65078/5789/6712/148/7781/9127/7476/320/64084/869/8224/6854/2894",33
"GO:1902495","GO:1902495","transmembrane transporter complex","37/1109","379/19869",0.000698828007636415,0.00698828007636415,0.0052358011717651,"1137/53405/1804/2561/776/9312/57406/10242/1259/11280/481/3745/3762/285175/1134/6262/6332/3752/6263/57101/6324/7881/3359/477/30818/6330/6335/9033/3759/30820/2893/5348/3773/6338/2892/2568/8913",37
"GO:1904724","GO:1904724","tertiary granule lumen","10/1109","55/19869",0.00082865240386495,0.00812716780713701,0.00608908547779306,"5473/2919/3043/5806/5199/978/116844/1118/7130/8993",10
"GO:0043204","GO:0043204","perikaryon","19/1109","154/19869",0.000969186532031348,0.00920143304787805,0.0068939529337043,"1393/1501/9312/460/7432/3672/57282/11346/5152/146760/3745/65078/1740/6324/6505/85442/8516/55273/116",19
"GO:0099060","GO:0099060","integral component of postsynaptic specialization membrane","12/1109","76/19869",0.000974269381540028,0.00920143304787805,0.0068939529337043,"2045/2561/57497/1000/145581/1134/3752/4897/9127/64084/57622/2894",12
"GO:0005912","GO:0005912","adherens junction","21/1109","179/19869",0.00104147697342244,0.00961892144682818,0.00720674609948117,"1501/28513/83872/84966/9223/1000/29964/3993/7422/3909/64236/1946/421/1009/57619/1001/79983/1740/5317/55966/83461",21
